SampleID,SiteID,RepID,Treatment,Date,Subsample,Experimenter,Date.start,Date.end,Crucible.location,Mass.dry.crucible.g,Mass.wet.soil,Mass.105C.overnight,Mass.4hr.550C,Mass.2hr.1000C,Notes,Mass.Moisture,Mass.SOM,Mass.Carbonate,,per.moisture,per.SOM,per.InorgC,per.totC
01,AH,A,Interspace,5/2024,1,SF,9/24/24,9/27/24,A-1,15.6133,10.0149,23.3374,22.523,22.4658,,2.2908,0.8144,0.0572,,22.874,8.132,0.571,8.703
02,AH,A,Interspace,5/2024,2,SF,9/24/24,9/27/24,A-2,15.0811,10.0263,22.8229,22.0035,21.946,,2.2845,0.8194,0.0575,,22.785,8.173,0.573,8.746
03,AH,B,Interspace,5/2024,1,SF,9/24/24,9/27/24,A-3,17.4098,10.0468,25.4427,24.8155,24.7564,,2.0139,0.6272,0.0591,,20.045,6.243,0.588,6.831
04,AH,B,Interspace,5/2024,2,SF,9/24/24,9/27/24,B-1,13.2597,10.0247,21.2644,20.6341,20.5768,,2.02,0.6303,0.0573,,20.150,6.287,0.572,6.859
05,AH,C,Interspace,5/2024,1,SF,9/24/24,9/27/24,B-2,17.7583,10.1657,25.3913,24.6871,24.6282,,2.5327,0.7042,0.0589,,24.914,6.927,0.579,7.507
06,AH,C,Interspace,5/2024,2,SF,9/24/24,9/27/24,B-3,15.5543,10.0034,23.0694,22.3815,22.3215,,2.4883,0.6879,0.06,,24.875,6.877,0.600,7.476
07,AH,A,Live Rhizosphere,5/2024,1,SF,9/24/24,9/27/24,C-1,18.4827,10.0616,26.0631,25.2474,25.1861,,2.4812,0.8157,0.0613,,24.660,8.107,0.609,8.716
08,AH,A,Live Rhizosphere,5/2024,2,SF,10/1/24,10/4/14,C-2,14.4872,10.0598,21.976,21.147,21.1031,,2.571,0.829,0.0439,,25.557,8.241,0.436,8.677
09,AH,B,Live Rhizosphere,5/2024,1,SF,9/24/24,9/27/24,C-3,15.9898,10.046,23.2405,22.447,22.3869,,2.7953,0.7935,0.0601,,27.825,7.899,0.598,8.497
10,AH,B,Live Rhizosphere,5/2024,2,SF,9/24/24,9/27/24,D-1,15.1611,10.0531,22.4154,21.6249,21.5582,,2.7988,0.7905,0.0667,,27.840,7.863,0.663,8.527
11,AH,C,Live Rhizosphere,5/2024,1,SF,9/24/24,9/27/24,D-2,16.8864,10.0131,24.2505,23.5365,23.4676,,2.649,0.714,0.0689,,26.455,7.131,0.688,7.819
12,AH,C,Live Rhizosphere,5/2024,2,SF,9/24/24,9/27/24,D-3,15.921,10.0209,23.3045,22.5801,22.509,,2.6374,0.7244,0.0711,,26.319,7.229,0.710,7.938
13,BB,A,Interspace,5/2024,1,SF,10/1/24,10/4/14,A-1,15.9042,10.0178,24.4049,24.0978,24.0699,,1.5171,0.3071,0.0279,,15.144,3.066,0.279,3.344
14,BB,A,Interspace,5/2024,2,SF,10/1/24,10/4/14,A-2,16.9017,10.0415,25.3948,25.0861,25.0572,,1.5484,0.3087,0.0289,,15.420,3.074,0.288,3.362
15,BB,B,Interspace,5/2024,1,SF/RA,8/1/24,8/5/24,A-3,15.1611,10.1053,23.9631,23.5717,23.53,,1.3033,0.3914,0.0417,,12.897,3.873,0.413,4.286
16,BB,B,Interspace,5/2024,2,SF,10/1/24,10/4/14,B-1,16.5635,10.0219,25.2469,24.9978,24.9745,,1.3385,0.2491,0.0233,,13.356,2.486,0.232,2.718
17,BB,C,Interspace,5/2024,1,SF/RA,8/1/24,8/5/24,B-2,15.6137,10.0488,24.3653,23.5703,23.526,,1.2972,0.795,0.0443,,12.909,7.911,0.441,8.352
18,BB,C,Interspace,5/2024,2,SF/RA,8/1/24,8/5/24,B-3,14.4857,10.0983,23.2823,23.0106,22.9681,,1.3017,0.2717,0.0425,,12.890,2.691,0.421,3.111
19,BB,A,Live Rhizosphere,5/2024,1,SF/RA,8/1/24,8/5/24,C-1,15.9212,10.087,24.948,24.4972,24.4322,,1.0602,0.4508,0.065,,10.511,4.469,0.644,5.114
20,BB,A,Live Rhizosphere,5/2024,2,SF/RA,8/1/24,8/5/24,C-2,17.4104,10.0931,26.4368,25.9831,25.9173,,1.0667,0.4537,0.0658,,10.569,4.495,0.652,5.147
21,BB,B,Live Rhizosphere,5/2024,1,SF/RA,8/1/24,8/5/24,C-3,15.0814,10.0935,24.0359,23.5523,23.4861,,1.139,0.4836,0.0662,,11.284,4.791,0.656,5.447
22,BB,B,Live Rhizosphere,5/2024,2,SF/RA,8/1/24,8/5/24,D-1,16.8864,10.0924,25.7225,25.2399,25.1716,,1.2563,0.4826,0.0683,,12.448,4.782,0.677,5.459
23,BB,C,Live Rhizosphere,5/2024,1,SF/RA,8/1/24,8/5/24,D-2,15.9882,10.0298,24.8612,24.3742,24.3013,,1.1568,0.487,0.0729,,11.534,4.856,0.727,5.582
24,BB,C,Live Rhizosphere,5/2024,2,SF/RA,8/1/24,8/5/24,D-3,13.2591,10.0813,22.3175,21.8255,21.7513,,1.0229,0.492,0.0742,,10.147,4.880,0.736,5.616
25,CR,A,Interspace,5/2024,1,SF,8/5/24,8/7/24,A-1,16.5624,10.0239,26.3661,25.9199,25.8724,,0.2202,0.4462,0.0475,,2.197,4.451,0.474,4.925
