SampleID,SiteID,RepID,Treatment,Date,Subsample,Experimenter,Moist.mass.g,NO3.ppm.1,NO3.ppm.2,NO3.ppm.3,mean.NO3,NH4.ppm.1,NH4.ppm.2,NH4.ppm.4,mean.NH4
01,AH,A,Dead,May-24,1,RA,11.1003,24.1118,27.7365,26.8752,26.24116667,7.3984,6.1782,7.5943,7.057
02,AH,A,Dead,May-24,2,RA,11.1906,31.074,30.5716,34.0886,31.9114,6.6636,5.9155,6.8818,6.487
03,AH,B,Dead,May-24,1,RA,11.0541,33.2273,35.7394,35.0934,34.6867,6.6636,5.203,6.5345,6.1337
04,AH,B,Dead,May-24,2,RA,11.0482,33.3708,35.2011,36.7084,35.09343333,6.2984,5.6038,6.4721,6.1248
05,AH,C,Dead,May-24,1,RA,11.1227,25.1526,25.9062,25.4038,25.48753333,4.4771,4.3257,4.7042,4.5023
06,AH,C,Dead,May-24,2,RA,11.109,24.9372,24.7937,23.5376,24.42283333,4.3435,3.6444,4.3747,4.1209
07,AH,A,Interspace,May-24,1,RA,11.1304,24.2554,23.6453,23.8247,23.90846667,0.0106,0.3891,0.1175,0.1724
08,AH,A,Interspace,May-24,2,RA,11.1195,21.9586,21.2408,21.4561,21.55183333,0.4871,0.5183,0.3669,0.4574
09,AH,B,Interspace,May-24,1,RA,11.0941,16.5754,16.073,16.3242,16.3242,0.4337,0.3357,0.5004,0.4233
10,AH,B,Interspace,May-24,2,RA,11.0921,18.4416,18.8363,18.4775,18.58513333,0.4693,0.4337,0.5762,0.4931
11,AH,C,Interspace,May-24,1,RA,11.1885,15.2835,15.104,14.781,15.05616667,0.4826,0.3713,0.5762,0.4767
12,AH,C,Interspace,May-24,2,RA,11.0313,16.5395,15.8577,15.7141,16.0371,0.447,0.4025,0.5272,0.4589
13,AH,A,Live Rhizosphere,May-24,1,RA,11.2166,32.8684,32.6172,7.1729,24.2195,0.8879,0.7587,0.9146,0.8537
14,AH,A,Live Rhizosphere,May-24,2,RA,11.183,32.6172,32.0071,32.4736,32.36596667,1.8587,1.7651,2.1214,1.9151
15,AH,B,Live Rhizosphere,May-24,1,RA,11.0841,35.6676,34.8063,34.6628,35.04556667,1.6137,1.4356,1.7251,1.5915
16,AH,B,Live Rhizosphere,May-24,2,RA,10.9956,35.3446,34.914,34.6628,34.9738,2.2773,1.3421,2.0012,1.8735
17,AH,C,Live Rhizosphere,May-24,1,RA,11.1313,25.9062,22.3174,24.3271,24.18356667,1.5425,1.3644,1.3421,1.4163
18,AH,C,Live Rhizosphere,May-24,2,RA,10.9878,25.009,23.8606,23.1787,24.0161,0.3357,0.3357,0.4114,0.3609
19,BB,A,Dead,May-24,1,RA,10.9866,3.8712,4.0507,3.943,3.954966667,2.0012,1.4133,1.8186,1.7444
20,BB,A,Dead,May-24,2,RA,11.1382,3.943,4.4454,4.1583,4.182233333,1.921,1.8052,1.8319,1.8527
21,BB,B,Dead,May-24,1,RA,11.0617,5.3785,5.3067,5.6656,5.450266667,2.0101,2.1704,1.8542,2.0116
22,BB,B,Dead,May-24,2,RA,11.1949,4.8761,5.1991,5.3067,5.1273,2.0145,2.0724,2.1258,2.0709
