SampleID,SiteID,RepID,Treatment,Date,Subsample,Experimenter,Moist.soil.mass,Vol.DI.added,pH.1,pH.2,pH.3,pH.avg
01,AH,A,Dead,5/2024,1,RA,5.03,10.5307,6.58,6.47,6.42,6.49
02,AH,A,Dead,5/2024,2,RA,5.0823,10.2658,6.46,6.48,6.4,6.446666667
03,AH,B,Dead,5/2024,1,RA,5.0086,10.2202,6.41,6.48,6.42,6.436666667
04,AH,B,Dead,5/2024,2,RA,5.0464,10.1568,6.43,6.42,6.42,6.423333333
05,AH,C,Dead,5/2024,1,RA,5.0463,10.1726,6.4,6.28,6.28,6.32
06,AH,C,Dead,5/2024,2,RA,5.0262,10.2904,6.27,6.29,6.26,6.273333333
07,AH,A,Interspace,5/2024,1,SF,5.0715,10.1405,6.18,6.18,6.23,6.196666667
08,AH,A,Interspace,5/2024,2,SF,5.011,10.0752,6.22,6.25,6.26,6.243333333
09,AH,B,Interspace,5/2024,1,SF/HL,5.0586,10.2206,5.96,6.02,6.04,6.006666667
10,AH,B,Interspace,5/2024,2,SF/HL,5.0311,10.1696,6.08,6.09,6.12,6.096666667
11,AH,C,Interspace,5/2024,1,SF/HL,5.0118,10.1341,6.51,6.55,6.55,6.536666667
12,AH,C,Interspace,5/2024,2,SF/HL,5.0343,10.2342,6.47,6.52,6.53,6.506666667
13,AH,A,Live Rhizosphere,5/2024,1,RA,5.1374,10.4177,6.59,6.5,6.54,6.543333333
14,AH,A,Live Rhizosphere,5/2024,2,RA,5.049,10.0637,6.53,6.55,6.54,6.54
15,AH,B,Live Rhizosphere,5/2024,1,RA,5.2293,11.3065,6.86,6.66,6.58,6.7
16,AH,B,Live Rhizosphere,5/2024,2,RA,5.0845,10.024,6.64,6.57,6.56,6.59
17,AH,C,Live Rhizosphere,5/2024,1,RA,5.0251,10.1422,6.56,6.54,6.56,6.553333333
18,AH,C,Live Rhizosphere,5/2024,2,RA,5.1092,10.6777,6.52,6.52,6.53,6.523333333
19,BB,A,Dead,5/2024,1,RA,5.166,10.5158,6.11,5.97,5.92,6
20,BB,A,Dead,5/2024,2,RA,5.1879,10.1287,6.14,6.03,5.87,6.013333333
21,BB,B,Dead,5/2024,1,RA,5.0741,10.7127,6.02,5.89,5.78,5.896666667
22,BB,B,Dead,5/2024,2,RA,5.3027,10.6407,6.01,5.75,5.7,5.82
23,BB,C,Dead,5/2024,1,RA,5.1568,10.3653,6.11,5.92,5.86,5.963333333
24,BB,C,Dead,5/2024,2,RA,4.9412,10.1365,6.1,5.89,5.79,5.926666667
25,BB,A,Interspace,5/2024,1,RA,5.2142,10.4837,6.65,6.27,6.14,6.353333333
