ConeID,SeedID,SoilID,Replicate,Treatment,PopID,Rhizo.Int,Sample Type (AB= aboveground),Envelope Dry Mass (milligrams),Observer and date,Envelope with dry biomass (mg),Observer and date,dry.mass
2,WIL,NG,A,Live,NG,INT,AB,1.0942,HL 9/8,1.1432,LD 9/30,0.049
7,USGS,OH,B,Live,OH,RHIZO,AB,1.0912,HL 9/8,1.1663,LD 9/30,0.0751
9,WIL,HG,C,Dead,HG,RHIZO,AB,1.1177,HL 9/8,1.1332,LD 9/30,0.0155
16,WIL,BB,A,Live,BB,RHIZO,AB,1.0752,HL 9/8,1.1935,LD 9/30,0.1183
19,USGS,NG,C,Dead,NG,RHIZO,AB,1.0601,HL 9/8,1.1563,LD 9/26,0.0962
20,WIL,BB,A,Dead,BB,RHIZO,AB,1.0668,HL 9/8,1.1161,LD 9/30,0.0493
21,USGS,BB,A,Live,BB,RHIZO,AB,1.0854,HL 9/8,1.1981,LD 9/30,0.1127
23,WIL,SR,C,Live,SR,INT,AB,1.0985,HL 9/8,1.121,LD 9/30,0.0225
24,WIL,BB,B,Dead,BB,RHIZO,AB,1.0777,HL 9/8,1.1354,LD 9/30,0.0577
25,WIL,BB,B-C,Dead,BB,RHIZO,AB,1.1274,HL 9/8,1.1338,LD 9/30,0.0064
26,USGS,BB,B,Dead,BB,RHIZO,AB,1.0911,HL 9/8,1.1922,LD 9/30,0.1011
29,USGS,SR,C,Dead,SR,INT,AB,1.1028,HL 9/8,1.1673,LD 9/26,0.0645
33,WIL,BB,B,Dead,BB,INT,AB,1.0701,HL 9/8,1.115,LD 9/30,0.0449
35,WIL,NG,A-B,Live,NG,RHIZO,AB,1.0578,HL 9/8,1.1385,LD 9/30,0.0807
36,USGS,BB,C,Live,BB,INT,AB,1.0794,HL 9/8,1.1962,LD 9/26,0.1168
37,WIL,OH,A-B,Live,OH,RHIZO,AB,1.0904,HL 9/8,1.2333,LD 9/26,0.1429
38,WIL,SR,A,Dead,SR,INT,AB,1.084,HL 9/8,1.1084,LD 9/30,0.0244
40,USGS,OH,A,Live,OH,RHIZO,AB,1.0735,HL 9/8,1.2101,LD 9/30,0.1366
42,USGS,HG,C,Dead,HG,INT,AB,1.0797,HL 9/8,1.1864,LD 9/30,0.1067
43,USGS,HG,C,Live,HG,INT,AB,1.0945,HL 9/8,1.1376,LD 9/30,0.0431
44,USGS,BB,A,Dead,BB,RHIZO,AB,1.094,HL 9/8,1.1121,LD 9/30,0.0181
45,WIL,OH,B,Dead,OH,RHIZO,AB,1.0653,HL 9/8,1.167,LD 9/30,0.1017
46,USGS,BB,A,Dead,BB,INT,AB,1.0753,HL 9/8,1.1478,LD 9/30,0.0725
47,WIL,NG,B-C,Live,NG,RHIZO,AB,1.107,HL 9/8,1.1884,LD 9/30,0.0814
48,WIL,NG,A,Live,NG,RHIZO,AB,1.1208,HL 9/8,1.1616,LD 9/30,0.0408
