ConeID,Soil ID,Replicate,Rhizo-Int,Treatment,SpeciesID,SeedID
1,BB,C,INT,Live,ARTR,BB
2,NG,A,INT,Live,BRTE,WIL
3,NG,C,INT,Live,ARTR,NG
4,OH,B-C,RHIZO,Dead,ARTR,OH
5,BB,B,INT,Dead,ARTR,BB
6,NG,A,RHIZO,Live,ARTR,NG
7,OH,B,RHIZO,Live,BRTE,USGS
8,BB,B,RHIZO,Live,ARTR,BB
9,HG,C,RHIZO,Dead,BRTE,WIL
10,NG,A,INT,Live,ARTR,NG
11,SR,B,INT,Live,ARTR,SR
12,HG,B,RHIZO,Live,ARTR,HG
13,HG,B-C,RHIZO,Live,ARTR,HG
14,NG,A,INT,Dead,ARTR,NG
15,BB,A-B,RHIZO,Dead,ARTR,BB
16,BB,A,RHIZO,Live,BRTE,WIL
17,NG,A,RHIZO,Dead,ARTR,NG
18,HG,A,RHIZO,Dead,ARTR,HG
19,NG,C,RHIZO,Dead,BRTE,USGS
20,BB,A,RHIZO,Dead,BRTE,WIL
21,BB,A,RHIZO,Live,BRTE,USGS
22,NG,A-B,RHIZO,Dead,ARTR,NG
23,SR,C,INT,Live,BRTE,WIL
24,BB,B,RHIZO,Dead,BRTE,WIL
25,BB,B-C,RHIZO,Dead,BRTE,WIL
26,BB,B,RHIZO,Dead,BRTE,USGS
27,NG,C,INT,Live,BRTE,USGS
28,HG,A,RHIZO,Live,ARTR,HG
29,SR,C,INT,Dead,BRTE,USGS
30,OH,B-C,RHIZO,Live,ARTR,OH
31,HG,B-C,RHIZO,Dead,ARTR,HG
32,BB,C,RHIZO,Dead,ARTR,BB
33,BB,B,INT,Dead,BRTE,WIL
34,OH,C,RHIZO,Dead,ARTR,OH
35,NG,A-B,RHIZO,Live,BRTE,WIL
36,BB,C,INT,Live,BRTE,USGS
37,OH,A-B,RHIZO,Live,BRTE,WIL
38,SR,A,INT,Dead,BRTE,WIL
39,SR,C,RHIZO,Live,ARTR,SR
40,OH,A,RHIZO,Live,BRTE,USGS
41,HG,A-B,RHIZO,Live,ARTR,HG
42,HG,C,INT,Dead,BRTE,USGS
43,HG,C,INT,Live,BRTE,USGS
44,BB,A,RHIZO,Dead,BRTE,USGS
45,OH,B,RHIZO,Dead,BRTE,WIL
46,BB,A,INT,Dead,BRTE,USGS
47,NG,B-C,RHIZO,Live,BRTE,WIL
48,NG,A,RHIZO,Live,BRTE,WIL
49,HG,B,INT,Dead,BRTE,WIL
50,HG,C,INT,Live,BRTE,WIL
51,BB,B,RHIZO,Live,BRTE,USGS
52,NG,B,RHIZO,Dead,BRTE,USGS
53,NG,C,RHIZO,Dead,ARTR,NG
54,OH,B,RHIZO,Live,ARTR,OH
55,BB,A-B,RHIZO,Live,ARTR,BB
56,SR,B,RHIZO,Dead,BRTE,USGS
57,NG,C,INT,Dead,BRTE,WIL
58,OH,A-B,RHIZO,Live,BRTE,USGS
59,SR,A,RHIZO,Live,BRTE,WIL
60,SR,A-B,RHIZO,Dead,ARTR,SR
61,HG,A-B,RHIZO,Dead,BRTE,WIL
62,OH,C,INT,Live,BRTE,USGS
63,OH,B-C,RHIZO,Dead,BRTE,WIL
64,OH,A,INT,Dead,BRTE,USGS
65,HG,B-C,RHIZO,Dead,BRTE,WIL
66,OH,B-C,RHIZO,Dead,BRTE,USGS
67,HG,B,INT,Dead,ARTR,HG
68,BB,A,INT,Live,BRTE,USGS
69,NG,C,INT,Dead,BRTE,USGS
70,NG,B,INT,Live,ARTR,NG
71,HG,B,INT,Live,BRTE,WIL
72,HG,A,INT,Dead,ARTR,HG
73,BB,A,INT,Dead,BRTE,WIL
74,NG,A,RHIZO,Dead,BRTE,WIL
75,HG,A-B,RHIZO,Dead,ARTR,HG
76,HG,B,INT,Live,ARTR,HG
77,BB,C,RHIZO,Dead,BRTE,WIL
78,SR,B,RHIZO,Dead,ARTR,SR
79,OH,B,RHIZO,Dead,ARTR,OH
80,SR,B,INT,Live,BRTE,USGS
81,SR,A,RHIZO,Live,ARTR,SR
82,NG,B,RHIZO,Dead,ARTR,NG
83,BB,A,RHIZO,Live,ARTR,BB
84,BB,B,INT,Live,ARTR,BB
85,BB,A,RHIZO,Dead,ARTR,BB
86,OH,C,RHIZO,Live,ARTR,OH
87,SR,A,RHIZO,Dead,BRTE,WIL
88,OH,B,INT,Dead,ARTR,OH
89,HG,B,RHIZO,Dead,BRTE,USGS
90,SR,B,RHIZO,Live,BRTE,USGS
91,NG,A,INT,Dead,BRTE,USGS
92,NG,C,INT,Dead,ARTR,NG
93,BB,B,RHIZO,Live,BRTE,WIL
94,SR,C,INT,Live,ARTR,SR
95,SR,A,INT,Live,BRTE,WIL
96,OH,C,RHIZO,Live,BRTE,WIL
97,SR,A-B,RHIZO,Dead,ARTR,SR
98,OH,A,INT,Live,BRTE,USGS
99,NG,A-B,RHIZO,Dead,BRTE,USGS
100,HG,A,RHIZO,Dead,BRTE,USGS
101,HG,B-C,RHIZO,Dead,BRTE,USGS
102,BB,A,INT,Live,ARTR,BB
103,SR,A-B,RHIZO,Live,BRTE,WIL
104,SR,C,INT,Dead,ARTR,SR
105,NG,B-C,RHIZO,Dead,BRTE,WIL
106,SR,A-B,RHIZO,Dead,BRTE,WIL
107,BB,A,INT,Dead,ARTR,BB
108,SR,B-C,RHIZO,Dead,BRTE,WIL
109,HG,B,RHIZO,Live,BRTE,USGS
110,NG,B,RHIZO,Live,BRTE,USGS
111,NG,A-B,RHIZO,Dead,BRTE,WIL
112,OH,C,INT,Dead,ARTR,OH
113,SR,B-C,RHIZO,Live,BRTE,WIL
114,OH,B,INT,Live,BRTE,WIL
115,OH,C,INT,Live,BRTE,WIL
116,NG,B-C,RHIZO,Dead,BRTE,USGS
117,OH,A,INT,Live,BRTE,WIL
118,OH,A,RHIZO,Live,BRTE,WIL
119,BB,C,RHIZO,Live,BRTE,USGS
120,NG,B,RHIZO,Live,ARTR,NG
121,BB,B-C,RHIZO,Live,BRTE,WIL
122,NG,C,RHIZO,Live,ARTR,NG
